GSR,HR,Perfume
0.21265,77.58,Hush Lush
0.215212,77.65,Hush Lush
0.213931,77.73,Hush Lush
0.213931,77.83,Hush Lush
0.215212,77.93,Hush Lush
0.215212,78.05,Hush Lush
0.21265,78.17,Hush Lush
0.216493,78.23,Hush Lush
0.215212,78.42,Hush Lush
0.213931,78.58,Hush Lush
0.216493,78.77,Hush Lush
0.215212,78.93,Hush Lush
0.217774,79.08,Hush Lush
0.217774,79.22,Hush Lush
0.215212,79.33,Hush Lush
0.216493,79.45,Hush Lush
0.217774,79.6,Hush Lush
0.215212,79.52,Hush Lush
0.217774,79.43,Hush Lush
0.216493,79.4,Hush Lush
0.216493,79.37,Hush Lush
0.216493,79.3,Hush Lush
0.217774,79.23,Hush Lush
0.216493,79.13,Hush Lush
0.216493,79.05,Hush Lush
0.220336,78.97,Hush Lush
0.216493,78.88,Hush Lush
0.215212,78.8,Hush Lush
0.220336,78.77,Hush Lush
0.216493,78.77,Hush Lush
