GSR,HR,Perfume
2.161589,89.3,Hush Lush
2.151341,89.35,Hush Lush
2.146218,89.4,Hush Lush
2.146218,89.47,Hush Lush
2.12188,89.57,Hush Lush
2.124442,89.67,Hush Lush
2.119318,89.78,Hush Lush
2.137251,89.92,Hush Lush
2.184646,90.05,Hush Lush
2.20386,90.2,Hush Lush
2.161589,90.33,Hush Lush
2.166713,90.45,Hush Lush
2.159027,90.55,Hush Lush
2.166713,90.68,Hush Lush
2.219232,90.78,Hush Lush
2.225636,90.85,Hush Lush
2.201298,90.88,Hush Lush
2.171837,90.92,Hush Lush
2.170556,90.93,Hush Lush
2.169275,90.85,Hush Lush
2.151341,90.8,Hush Lush
2.234603,90.77,Hush Lush
2.27175,90.75,Hush Lush
2.20386,90.75,Hush Lush
2.178241,90.73,Hush Lush
2.35245,90.72,Hush Lush
2.428241,90.7,Hush Lush
2.365475,90.68,Hush Lush
2.310394,90.67,Hush Lush
2.274528,90.68,Hush Lush
