GSR,HR,Perfume
0.153723,96.97,Hush Lush
0.152442,97.0,Hush Lush
0.151161,97.03,Hush Lush
0.14988,97.07,Hush Lush
0.151161,97.08,Hush Lush
0.152442,97.12,Hush Lush
0.151161,97.2,Hush Lush
0.14988,97.25,Hush Lush
0.151161,97.23,Hush Lush
0.153723,97.18,Hush Lush
0.153723,97.1,Hush Lush
0.151161,97.0,Hush Lush
0.152442,97.0,Hush Lush
0.155004,96.93,Hush Lush
0.153723,96.9,Hush Lush
0.151161,96.77,Hush Lush
0.152442,96.52,Hush Lush
0.153723,96.4,Hush Lush
0.151161,96.32,Hush Lush
0.151161,96.25,Hush Lush
0.152442,96.18,Hush Lush
0.153723,96.12,Hush Lush
0.152442,96.05,Hush Lush
0.152442,95.98,Hush Lush
0.155004,95.95,Hush Lush
0.153723,95.9,Hush Lush
0.152442,95.87,Hush Lush
0.14988,95.87,Hush Lush
0.14988,95.9,Hush Lush
0.152442,95.93,Hush Lush
