GSR,HR,Perfume
0.439658,92.58,Hush Lush
0.433252,92.67,Hush Lush
0.433252,92.8,Hush Lush
0.435814,92.9,Hush Lush
0.437096,93.0,Hush Lush
0.444782,93.1,Hush Lush
0.44222,93.25,Hush Lush
0.431971,93.27,Hush Lush
0.43069,93.23,Hush Lush
0.435814,93.17,Hush Lush
0.433252,93.1,Hush Lush
0.433252,93.03,Hush Lush
0.428128,92.97,Hush Lush
0.433252,92.88,Hush Lush
0.426847,92.78,Hush Lush
0.43069,92.65,Hush Lush
0.421723,92.53,Hush Lush
0.434533,92.35,Hush Lush
0.444782,92.18,Hush Lush
0.456311,92.07,Hush Lush
0.461435,91.87,Hush Lush
0.452468,91.72,Hush Lush
0.447344,91.47,Hush Lush
0.446063,91.13,Hush Lush
0.44222,90.87,Hush Lush
0.439658,90.55,Hush Lush
0.438377,90.18,Hush Lush
0.437096,89.83,Hush Lush
0.435814,89.47,Hush Lush
0.444782,89.27,Hush Lush
