GSR,HR,Perfume
0.111442,80.88,Hush Lush
0.110161,80.8,Hush Lush
0.110161,80.7,Hush Lush
0.110161,80.67,Hush Lush
0.10888,80.6,Hush Lush
0.111442,80.55,Hush Lush
0.112723,80.5,Hush Lush
0.111442,80.47,Hush Lush
0.110161,80.4,Hush Lush
0.111442,80.32,Hush Lush
0.110161,80.17,Hush Lush
0.110161,79.97,Hush Lush
0.111442,79.78,Hush Lush
0.111442,79.58,Hush Lush
0.110161,79.58,Hush Lush
0.111442,79.58,Hush Lush
0.111442,79.65,Hush Lush
0.110161,79.73,Hush Lush
0.10888,79.83,Hush Lush
0.10888,79.95,Hush Lush
0.110161,80.15,Hush Lush
0.111442,80.35,Hush Lush
0.112723,80.5,Hush Lush
0.110161,80.73,Hush Lush
0.111442,80.95,Hush Lush
0.112723,81.15,Hush Lush
0.111442,81.12,Hush Lush
0.112723,81.1,Hush Lush
0.111442,81.05,Hush Lush
0.112723,81.0,Hush Lush
