GSR,HR,Perfume
0.788117,76.27,Hush Lush
0.795803,76.2,Hush Lush
0.789398,76.12,Hush Lush
0.786836,76.05,Hush Lush
0.780432,76.0,Hush Lush
0.772746,75.98,Hush Lush
0.770184,75.97,Hush Lush
0.759936,75.97,Hush Lush
0.763779,75.97,Hush Lush
0.759936,75.97,Hush Lush
0.75097,76.03,Hush Lush
0.748408,76.07,Hush Lush
0.748408,76.08,Hush Lush
0.75097,76.05,Hush Lush
0.754813,76.02,Hush Lush
0.753532,75.98,Hush Lush
0.745846,75.95,Hush Lush
0.754813,75.9,Hush Lush
0.752251,75.87,Hush Lush
0.779151,75.85,Hush Lush
0.870098,75.88,Hush Lush
0.920055,75.92,Hush Lush
0.871379,75.97,Hush Lush
0.852165,76.08,Hush Lush
0.836793,76.18,Hush Lush
0.827827,76.32,Hush Lush
0.811174,76.45,Hush Lush
0.802208,76.62,Hush Lush
0.802208,76.77,Hush Lush
0.790679,76.92,Hush Lush
