GSR,HR,Perfume
0.300026,81.35,Hush Lush
0.298745,81.28,Hush Lush
0.297464,81.23,Hush Lush
0.301307,81.2,Hush Lush
0.298745,81.18,Hush Lush
0.297464,81.18,Hush Lush
0.297464,81.17,Hush Lush
0.293621,81.12,Hush Lush
0.298745,81.02,Hush Lush
0.293621,80.83,Hush Lush
0.294902,80.68,Hush Lush
0.297464,80.67,Hush Lush
0.294902,80.42,Hush Lush
0.296183,80.13,Hush Lush
0.293621,79.85,Hush Lush
0.294902,79.52,Hush Lush
0.294902,79.18,Hush Lush
0.291059,78.88,Hush Lush
0.296183,78.6,Hush Lush
0.291059,78.37,Hush Lush
0.294902,78.18,Hush Lush
0.291059,78.05,Hush Lush
0.291059,77.95,Hush Lush
0.293621,77.85,Hush Lush
0.291059,77.75,Hush Lush
0.293621,77.63,Hush Lush
0.289778,77.53,Hush Lush
0.293621,77.42,Hush Lush
0.289778,77.28,Hush Lush
0.287216,77.13,Hush Lush
