GSR,HR,Perfume
0.11658,76.2,Hush Lush
0.117861,76.08,Hush Lush
0.114018,75.98,Hush Lush
0.114018,75.9,Hush Lush
0.114018,75.85,Hush Lush
0.115299,75.82,Hush Lush
0.11658,75.78,Hush Lush
0.117861,75.77,Hush Lush
0.11658,75.77,Hush Lush
0.114018,75.73,Hush Lush
0.11658,75.72,Hush Lush
0.11658,75.68,Hush Lush
0.11658,75.65,Hush Lush
0.117861,75.57,Hush Lush
0.117861,75.47,Hush Lush
0.11658,75.33,Hush Lush
0.11658,75.15,Hush Lush
0.115299,74.97,Hush Lush
0.117861,74.77,Hush Lush
0.119142,74.57,Hush Lush
0.119142,74.37,Hush Lush
0.119142,74.18,Hush Lush
0.115299,74.02,Hush Lush
0.11658,73.87,Hush Lush
0.11658,73.72,Hush Lush
0.119142,73.58,Hush Lush
0.119142,73.47,Hush Lush
0.119142,73.35,Hush Lush
0.11658,73.28,Hush Lush
0.11658,73.22,Hush Lush
