GSR,HR,Perfume
0.436829,83.37,Hush Lush
0.432986,83.37,Hush Lush
0.436829,83.35,Hush Lush
0.435548,83.23,Hush Lush
0.434267,83.27,Hush Lush
0.431705,83.2,Hush Lush
0.436829,83.1,Hush Lush
0.436829,82.95,Hush Lush
0.43811,82.78,Hush Lush
0.432986,82.6,Hush Lush
0.432986,82.4,Hush Lush
0.436829,82.32,Hush Lush
0.439391,82.23,Hush Lush
0.43811,82.23,Hush Lush
0.43811,82.23,Hush Lush
0.434267,82.25,Hush Lush
0.434267,82.3,Hush Lush
0.434267,82.27,Hush Lush
0.436829,82.23,Hush Lush
0.443234,82.18,Hush Lush
0.439391,82.12,Hush Lush
0.441953,82.03,Hush Lush
0.46373,81.93,Hush Lush
0.457325,81.92,Hush Lush
0.454763,81.83,Hush Lush
0.452201,81.7,Hush Lush
0.445796,81.57,Hush Lush
0.447077,81.43,Hush Lush
0.444515,81.35,Hush Lush
0.445796,81.3,Hush Lush
