GSR,HR,Perfume
0.201108,89.87,Hush Lush
0.201108,89.93,Hush Lush
0.198546,90.02,Hush Lush
0.198546,90.1,Hush Lush
0.199827,90.18,Hush Lush
0.199827,90.27,Hush Lush
0.198546,90.37,Hush Lush
0.198546,90.48,Hush Lush
0.199827,90.55,Hush Lush
0.201108,90.6,Hush Lush
0.202389,90.65,Hush Lush
0.198546,90.67,Hush Lush
0.202389,90.63,Hush Lush
0.202389,90.53,Hush Lush
0.20367,90.42,Hush Lush
0.199827,90.32,Hush Lush
0.202389,90.23,Hush Lush
0.201108,90.18,Hush Lush
0.202389,90.18,Hush Lush
0.202389,90.18,Hush Lush
0.201108,90.18,Hush Lush
0.201108,90.18,Hush Lush
0.201108,90.17,Hush Lush
0.204951,90.17,Hush Lush
0.204951,90.1,Hush Lush
0.204951,90.02,Hush Lush
0.204951,89.92,Hush Lush
0.207513,89.82,Hush Lush
0.204951,89.7,Hush Lush
0.208794,89.58,Hush Lush
