GSR,HR,Perfume
0.192153,78.28,Love Spell
0.192153,78.4,Love Spell
0.194715,78.5,Love Spell
0.194715,78.6,Love Spell
0.195996,78.67,Love Spell
0.195996,78.73,Love Spell
0.194715,78.8,Love Spell
0.193434,78.87,Love Spell
0.192153,78.92,Love Spell
0.192153,78.97,Love Spell
0.194715,79.0,Love Spell
0.193434,79.05,Love Spell
0.193434,79.12,Love Spell
0.197277,79.2,Love Spell
0.195996,79.3,Love Spell
0.195996,79.38,Love Spell
0.197277,79.45,Love Spell
0.197277,79.5,Love Spell
0.197277,79.55,Love Spell
0.195996,79.65,Love Spell
0.195996,79.7,Love Spell
0.198559,79.75,Love Spell
0.197277,79.87,Love Spell
0.195996,79.97,Love Spell
0.201121,80.08,Love Spell
0.198559,80.2,Love Spell
0.198559,80.33,Love Spell
0.198559,80.47,Love Spell
0.19984,80.58,Love Spell
0.19984,80.68,Love Spell
