GSR,HR,Perfume
0.148599,97.5,Love Spell
0.148599,97.4,Love Spell
0.148599,97.28,Love Spell
0.148599,97.17,Love Spell
0.147318,97.08,Love Spell
0.14988,96.92,Love Spell
0.148599,96.78,Love Spell
0.147318,96.65,Love Spell
0.147318,96.52,Love Spell
0.14988,96.33,Love Spell
0.147318,96.1,Love Spell
0.148599,95.87,Love Spell
0.14988,95.7,Love Spell
0.148599,95.53,Love Spell
0.147318,95.4,Love Spell
0.148599,95.45,Love Spell
0.14988,95.55,Love Spell
0.147318,95.68,Love Spell
0.169095,95.83,Love Spell
0.14988,95.92,Love Spell
0.14988,96.0,Love Spell
0.147318,96.08,Love Spell
0.147318,96.18,Love Spell
0.14988,96.28,Love Spell
0.148599,96.38,Love Spell
0.147318,96.5,Love Spell
0.148599,96.63,Love Spell
0.151161,96.77,Love Spell
0.14988,96.88,Love Spell
0.147318,97.0,Love Spell
