GSR,HR,Perfume
0.101195,74.88,Love Spell
0.102476,75.03,Love Spell
0.099914,75.13,Love Spell
0.101195,75.27,Love Spell
0.099914,75.48,Love Spell
0.101195,75.8,Love Spell
0.102476,76.15,Love Spell
0.102476,76.47,Love Spell
0.103757,76.77,Love Spell
0.102476,77.1,Love Spell
0.101195,77.4,Love Spell
0.101195,77.73,Love Spell
0.102476,78.07,Love Spell
0.101195,78.35,Love Spell
0.099914,78.63,Love Spell
0.103757,78.88,Love Spell
0.103757,79.15,Love Spell
0.101195,79.42,Love Spell
0.101195,79.62,Love Spell
0.099914,79.77,Love Spell
0.101195,79.93,Love Spell
0.098633,80.1,Love Spell
0.099914,80.38,Love Spell
0.102476,80.67,Love Spell
0.101195,80.93,Love Spell
0.101195,81.18,Love Spell
0.102476,81.38,Love Spell
0.102476,81.57,Love Spell
0.103757,81.72,Love Spell
0.102476,81.85,Love Spell
