GSR,HR,Perfume
1.974571,88.82,Love Spell
1.991223,88.73,Love Spell
1.993785,88.67,Love Spell
2.012999,88.62,Love Spell
2.009156,88.58,Love Spell
2.009156,88.57,Love Spell
1.996347,88.57,Love Spell
2.001471,88.62,Love Spell
1.991223,88.68,Love Spell
1.992504,88.77,Love Spell
2.005314,88.85,Love Spell
1.993785,88.98,Love Spell
2.007876,89.15,Love Spell
2.00019,89.3,Love Spell
2.002752,89.4,Love Spell
1.993785,89.48,Love Spell
1.995066,89.55,Love Spell
1.992504,89.62,Love Spell
1.991223,89.7,Love Spell
1.988661,89.82,Love Spell
1.989942,89.97,Love Spell
1.982257,90.08,Love Spell
1.983538,90.22,Love Spell
1.984819,90.38,Love Spell
1.97329,90.57,Love Spell
1.974571,90.72,Love Spell
1.974571,90.93,Love Spell
1.97329,91.12,Love Spell
1.952795,91.23,Love Spell
1.970728,91.32,Love Spell
