GSR,HR,Perfume
0.201108,78.33,Love Spell
0.201108,78.35,Love Spell
0.199827,78.5,Love Spell
0.201108,78.65,Love Spell
0.201108,78.77,Love Spell
0.201108,78.88,Love Spell
0.201108,78.98,Love Spell
0.201108,79.05,Love Spell
0.20367,79.2,Love Spell
0.206232,79.35,Love Spell
0.206232,79.32,Love Spell
0.208794,79.33,Love Spell
0.215199,79.37,Love Spell
0.21648,79.4,Love Spell
0.217761,79.42,Love Spell
0.21648,79.48,Love Spell
0.217761,79.52,Love Spell
0.21648,79.6,Love Spell
0.217761,79.7,Love Spell
0.217761,79.7,Love Spell
0.21648,79.77,Love Spell
0.217761,79.83,Love Spell
0.217761,79.93,Love Spell
0.215199,80.02,Love Spell
0.21648,80.17,Love Spell
0.21648,80.33,Love Spell
0.215199,80.47,Love Spell
0.212637,80.57,Love Spell
0.213918,80.68,Love Spell
0.213918,80.77,Love Spell
