GSR,HR,Perfume
0.359967,79.48,Love Spell
0.342033,79.53,Love Spell
0.340752,79.6,Love Spell
0.344595,79.67,Love Spell
0.343314,79.75,Love Spell
0.343314,79.85,Love Spell
0.343314,79.95,Love Spell
0.348438,80.03,Love Spell
0.349719,80.12,Love Spell
0.347157,80.2,Love Spell
0.349719,80.28,Love Spell
0.348438,80.37,Love Spell
0.349719,80.45,Love Spell
0.353562,80.52,Love Spell
0.354843,80.58,Love Spell
0.352281,80.65,Love Spell
0.354843,80.73,Love Spell
0.354843,80.8,Love Spell
0.354843,80.87,Love Spell
0.357405,80.93,Love Spell
0.366372,80.98,Love Spell
0.359967,81.07,Love Spell
0.357405,81.17,Love Spell
0.356124,81.3,Love Spell
0.356124,81.43,Love Spell
0.356124,81.57,Love Spell
0.361248,81.7,Love Spell
0.361248,81.83,Love Spell
0.358686,81.97,Love Spell
0.358686,82.1,Love Spell
