GSR,HR,Perfume
0.738091,75.18,Love Spell
0.77652,75.23,Love Spell
0.785486,75.32,Love Spell
0.759867,75.42,Love Spell
0.740653,75.52,Love Spell
0.732968,75.6,Love Spell
0.731687,75.68,Love Spell
0.725282,75.8,Love Spell
0.72272,75.92,Love Spell
0.717596,76.05,Love Spell
0.718877,76.18,Love Spell
0.720158,76.32,Love Spell
0.739372,76.52,Love Spell
0.734248,76.73,Love Spell
0.718877,76.93,Love Spell
0.721439,77.1,Love Spell
0.727844,77.23,Love Spell
0.730406,77.35,Love Spell
0.724001,77.33,Love Spell
0.718877,77.32,Love Spell
0.788048,77.32,Love Spell
0.84441,77.33,Love Spell
0.802139,77.35,Love Spell
0.780362,77.45,Love Spell
0.770115,77.55,Love Spell
0.767553,77.68,Love Spell
0.762429,77.83,Love Spell
0.762429,78.0,Love Spell
0.770115,78.17,Love Spell
0.798296,78.33,Love Spell
