GSR,HR,Perfume
0.101207,70.1,Love Spell
0.101207,70.12,Love Spell
0.101207,70.17,Love Spell
0.101207,70.23,Love Spell
0.101207,70.32,Love Spell
0.101207,70.43,Love Spell
0.098645,70.57,Love Spell
0.101207,70.7,Love Spell
0.099926,70.8,Love Spell
0.101207,70.9,Love Spell
0.101207,70.98,Love Spell
0.102488,71.05,Love Spell
0.103769,71.12,Love Spell
0.101207,71.15,Love Spell
0.102488,71.15,Love Spell
0.102488,71.1,Love Spell
0.101207,71.05,Love Spell
0.103769,70.98,Love Spell
0.10505,70.93,Love Spell
0.103769,70.9,Love Spell
0.10505,70.9,Love Spell
0.101207,70.88,Love Spell
0.103769,70.9,Love Spell
0.102488,70.95,Love Spell
0.103769,71.02,Love Spell
0.103769,71.12,Love Spell
0.103769,71.22,Love Spell
0.106331,71.3,Love Spell
0.10505,71.37,Love Spell
0.103769,71.43,Love Spell
