GSR,HR,Perfume
0.364077,80.0,Love Spell
0.365358,80.1,Love Spell
0.360234,80.18,Love Spell
0.362796,80.25,Love Spell
0.362796,80.28,Love Spell
0.360234,80.27,Love Spell
0.362796,80.2,Love Spell
0.360234,80.1,Love Spell
0.360234,80.03,Love Spell
0.361515,79.92,Love Spell
0.358953,79.8,Love Spell
0.356391,79.7,Love Spell
0.358953,79.62,Love Spell
0.357672,79.52,Love Spell
0.35511,79.45,Love Spell
0.356391,79.3,Love Spell
0.353829,79.15,Love Spell
0.351267,79.03,Love Spell
0.353829,78.92,Love Spell
0.35511,78.8,Love Spell
0.348705,78.65,Love Spell
0.352548,78.5,Love Spell
0.349986,78.35,Love Spell
0.346143,78.23,Love Spell
0.347424,78.13,Love Spell
0.346143,78.05,Love Spell
0.3423,77.98,Love Spell
0.346143,77.9,Love Spell
0.344862,77.82,Love Spell
0.3423,77.73,Love Spell
