GSR,HR,Perfume
0.504723,96.2,Love Spell
0.503442,96.13,Love Spell
0.507285,96.03,Love Spell
0.516252,95.9,Love Spell
0.517533,95.8,Love Spell
0.521376,95.68,Love Spell
0.521376,95.55,Love Spell
0.518814,95.4,Love Spell
0.530343,95.23,Love Spell
0.538029,95.17,Love Spell
0.544435,95.1,Love Spell
0.540592,95.03,Love Spell
0.540592,94.97,Love Spell
0.546997,94.92,Love Spell
0.552121,94.85,Love Spell
0.546997,94.67,Love Spell
0.55084,94.47,Love Spell
0.554683,94.27,Love Spell
0.57646,94.08,Love Spell
0.57646,93.8,Love Spell
0.575179,93.57,Love Spell
0.575179,93.38,Love Spell
0.566212,93.15,Love Spell
0.572617,92.93,Love Spell
0.573898,92.75,Love Spell
0.57646,92.57,Love Spell
0.582865,92.4,Love Spell
0.584146,92.25,Love Spell
0.587989,92.1,Love Spell
0.58927,91.93,Love Spell
