GSR,HR,Perfume
0.362796,84.42,Aromatic Oud
0.362796,84.47,Aromatic Oud
0.369201,84.55,Aromatic Oud
0.370482,84.65,Aromatic Oud
0.375606,84.77,Aromatic Oud
0.374325,84.92,Aromatic Oud
0.393541,85.07,Aromatic Oud
0.449906,85.2,Aromatic Oud
0.475526,85.33,Aromatic Oud
0.466559,85.43,Aromatic Oud
0.456311,85.5,Aromatic Oud
0.453749,85.55,Aromatic Oud
0.461435,85.6,Aromatic Oud
0.453749,85.67,Aromatic Oud
0.472964,85.75,Aromatic Oud
0.490898,85.8,Aromatic Oud
0.490898,85.87,Aromatic Oud
0.494742,85.93,Aromatic Oud
0.483212,85.97,Aromatic Oud
0.472964,85.97,Aromatic Oud
0.474245,85.97,Aromatic Oud
0.493461,85.85,Aromatic Oud
0.479369,85.68,Aromatic Oud
0.479369,85.55,Aromatic Oud
0.478088,85.43,Aromatic Oud
0.470402,85.35,Aromatic Oud
0.46784,85.38,Aromatic Oud
0.463997,85.47,Aromatic Oud
0.462716,85.6,Aromatic Oud
0.466559,85.75,Aromatic Oud
