GSR,HR,Perfume
0.562369,83.25,Aromatic Oud
0.561088,83.35,Aromatic Oud
0.56365,83.42,Aromatic Oud
0.570055,83.45,Aromatic Oud
0.573898,83.48,Aromatic Oud
0.568774,83.5,Aromatic Oud
0.564931,83.55,Aromatic Oud
0.566212,83.57,Aromatic Oud
0.56365,83.53,Aromatic Oud
0.562369,83.5,Aromatic Oud
0.562369,83.42,Aromatic Oud
0.566212,83.35,Aromatic Oud
0.568774,83.28,Aromatic Oud
0.566212,83.3,Aromatic Oud
0.564931,83.35,Aromatic Oud
0.56365,83.38,Aromatic Oud
0.562369,83.43,Aromatic Oud
0.575179,83.5,Aromatic Oud
0.57646,83.62,Aromatic Oud
0.573898,83.75,Aromatic Oud
0.571336,83.93,Aromatic Oud
0.568774,84.12,Aromatic Oud
0.564931,84.2,Aromatic Oud
0.56365,84.3,Aromatic Oud
0.566212,84.42,Aromatic Oud
0.559807,84.55,Aromatic Oud
0.557245,84.67,Aromatic Oud
0.557245,84.75,Aromatic Oud
0.559807,84.82,Aromatic Oud
0.567493,84.85,Aromatic Oud
