GSR,HR,Perfume
0.771465,74.07,Aromatic Oud
0.871379,74.0,Aromatic Oud
0.876503,73.98,Aromatic Oud
0.835512,73.95,Aromatic Oud
0.817579,73.95,Aromatic Oud
0.800927,73.98,Aromatic Oud
0.79196,74.02,Aromatic Oud
0.802208,74.07,Aromatic Oud
0.809893,74.1,Aromatic Oud
0.786836,74.13,Aromatic Oud
0.79196,74.17,Aromatic Oud
0.803489,74.17,Aromatic Oud
0.780432,74.15,Aromatic Oud
0.762498,74.1,Aromatic Oud
0.757375,74.05,Aromatic Oud
0.752251,73.98,Aromatic Oud
0.743284,73.92,Aromatic Oud
0.73816,73.72,Aromatic Oud
0.721508,73.55,Aromatic Oud
0.721508,73.4,Aromatic Oud
0.716384,73.27,Aromatic Oud
0.712541,73.15,Aromatic Oud
0.707418,73.08,Aromatic Oud
0.721508,73.03,Aromatic Oud
0.707418,73.05,Aromatic Oud
0.704856,73.1,Aromatic Oud
0.703575,73.17,Aromatic Oud
0.694608,73.23,Aromatic Oud
0.690765,73.3,Aromatic Oud
0.686923,73.37,Aromatic Oud
