GSR,HR,Perfume
0.269282,81.5,Aromatic Oud
0.270563,81.45,Aromatic Oud
0.274406,81.35,Aromatic Oud
0.271844,81.23,Aromatic Oud
0.269282,81.1,Aromatic Oud
0.26672,80.97,Aromatic Oud
0.274406,80.85,Aromatic Oud
0.271844,80.77,Aromatic Oud
0.270563,80.67,Aromatic Oud
0.270563,80.57,Aromatic Oud
0.278249,80.52,Aromatic Oud
0.271844,80.48,Aromatic Oud
0.269282,80.47,Aromatic Oud
0.276968,80.5,Aromatic Oud
0.273125,80.52,Aromatic Oud
0.270563,80.53,Aromatic Oud
0.273125,80.55,Aromatic Oud
0.274406,80.57,Aromatic Oud
0.270563,80.53,Aromatic Oud
0.274406,80.4,Aromatic Oud
0.276968,80.28,Aromatic Oud
0.275687,80.18,Aromatic Oud
0.273125,80.1,Aromatic Oud
0.274406,80.03,Aromatic Oud
0.274406,79.97,Aromatic Oud
0.273125,79.88,Aromatic Oud
0.271844,79.8,Aromatic Oud
0.270563,79.7,Aromatic Oud
0.273125,79.62,Aromatic Oud
0.26672,79.53,Aromatic Oud
