GSR,HR,Perfume
2.410308,91.32,Aromatic Oud
2.416713,91.3,Aromatic Oud
2.417994,91.27,Aromatic Oud
2.401341,91.2,Aromatic Oud
2.394937,91.12,Aromatic Oud
2.383408,91.02,Aromatic Oud
2.392375,90.93,Aromatic Oud
2.392375,90.85,Aromatic Oud
2.384689,90.8,Aromatic Oud
2.379565,90.78,Aromatic Oud
2.37188,90.8,Aromatic Oud
2.378284,90.83,Aromatic Oud
2.448736,90.85,Aromatic Oud
2.457703,90.85,Aromatic Oud
2.432084,90.85,Aromatic Oud
2.461546,90.82,Aromatic Oud
2.42696,90.8,Aromatic Oud
2.411589,90.8,Aromatic Oud
2.393656,90.77,Aromatic Oud
2.398779,90.77,Aromatic Oud
2.388532,90.78,Aromatic Oud
2.375722,90.72,Aromatic Oud
2.423117,90.83,Aromatic Oud
2.68443,90.93,Aromatic Oud
2.626788,91.05,Aromatic Oud
2.523031,91.17,Aromatic Oud
2.478198,91.25,Aromatic Oud
2.479479,91.28,Aromatic Oud
2.451298,91.28,Aromatic Oud
2.438489,91.27,Aromatic Oud
