GSR,HR,Perfume
0.224165,88.1,Aromatic Oud
0.222884,87.87,Aromatic Oud
0.222884,87.67,Aromatic Oud
0.221603,87.4,Aromatic Oud
0.226727,87.15,Aromatic Oud
0.225446,86.92,Aromatic Oud
0.222884,86.72,Aromatic Oud
0.222884,86.53,Aromatic Oud
0.225446,86.28,Aromatic Oud
0.225446,86.23,Aromatic Oud
0.225446,86.17,Aromatic Oud
0.225446,86.07,Aromatic Oud
0.224165,85.95,Aromatic Oud
0.225446,85.82,Aromatic Oud
0.222884,85.68,Aromatic Oud
0.222884,85.58,Aromatic Oud
0.222884,85.53,Aromatic Oud
0.222884,85.52,Aromatic Oud
0.222884,85.52,Aromatic Oud
0.222884,85.52,Aromatic Oud
0.225446,85.52,Aromatic Oud
0.221603,85.6,Aromatic Oud
0.221603,85.63,Aromatic Oud
0.220323,85.65,Aromatic Oud
0.224165,85.65,Aromatic Oud
0.220323,85.65,Aromatic Oud
0.220323,85.68,Aromatic Oud
0.220323,85.65,Aromatic Oud
0.220323,85.68,Aromatic Oud
0.219042,85.77,Aromatic Oud
