GSR,HR,Perfume
0.156285,100.9,Aromatic Oud
0.156285,101.07,Aromatic Oud
0.157566,101.2,Aromatic Oud
0.155004,101.3,Aromatic Oud
0.155004,101.38,Aromatic Oud
0.156285,101.58,Aromatic Oud
0.157566,101.8,Aromatic Oud
0.157566,101.8,Aromatic Oud
0.155004,101.85,Aromatic Oud
0.156285,101.93,Aromatic Oud
0.158847,102.02,Aromatic Oud
0.156285,102.17,Aromatic Oud
0.155004,102.3,Aromatic Oud
0.155004,102.42,Aromatic Oud
0.157566,102.55,Aromatic Oud
0.157566,102.65,Aromatic Oud
0.157566,102.9,Aromatic Oud
0.156285,103.15,Aromatic Oud
0.157566,103.4,Aromatic Oud
0.158847,103.67,Aromatic Oud
0.158847,103.85,Aromatic Oud
0.157566,103.93,Aromatic Oud
0.157566,104.0,Aromatic Oud
0.158847,104.03,Aromatic Oud
0.157566,104.05,Aromatic Oud
0.156285,104.07,Aromatic Oud
0.156285,104.07,Aromatic Oud
0.157566,104.05,Aromatic Oud
0.158847,104.02,Aromatic Oud
0.156285,104.0,Aromatic Oud
