GSR,HR,Perfume
0.230584,81.18,Aromatic Oud
0.228022,81.25,Aromatic Oud
0.230584,81.28,Aromatic Oud
0.229303,81.32,Aromatic Oud
0.226741,81.37,Aromatic Oud
0.230584,81.42,Aromatic Oud
0.228022,81.47,Aromatic Oud
0.231865,81.5,Aromatic Oud
0.230584,81.55,Aromatic Oud
0.231865,81.6,Aromatic Oud
0.231865,81.73,Aromatic Oud
0.228022,81.87,Aromatic Oud
0.230584,82.0,Aromatic Oud
0.230584,82.13,Aromatic Oud
0.231865,82.28,Aromatic Oud
0.229303,82.42,Aromatic Oud
0.233146,82.42,Aromatic Oud
0.234427,82.42,Aromatic Oud
0.229303,82.42,Aromatic Oud
0.233146,82.37,Aromatic Oud
0.229303,82.28,Aromatic Oud
0.233146,82.17,Aromatic Oud
0.229303,82.05,Aromatic Oud
0.233146,81.92,Aromatic Oud
0.230584,81.82,Aromatic Oud
0.233146,81.73,Aromatic Oud
0.230584,81.65,Aromatic Oud
0.233146,81.58,Aromatic Oud
0.230584,81.52,Aromatic Oud
0.231865,81.47,Aromatic Oud
