GSR,HR,Perfume
0.115285,78.2,Aromatic Oud
0.117847,78.35,Aromatic Oud
0.119128,78.53,Aromatic Oud
0.117847,78.73,Aromatic Oud
0.119128,78.93,Aromatic Oud
0.117847,79.13,Aromatic Oud
0.117847,79.3,Aromatic Oud
0.117847,79.42,Aromatic Oud
0.116566,79.52,Aromatic Oud
0.117847,79.58,Aromatic Oud
0.117847,79.62,Aromatic Oud
0.120409,79.65,Aromatic Oud
0.119128,79.67,Aromatic Oud
0.120409,79.7,Aromatic Oud
0.119128,79.7,Aromatic Oud
0.117847,79.73,Aromatic Oud
0.116566,79.78,Aromatic Oud
0.115285,79.88,Aromatic Oud
0.117847,79.92,Aromatic Oud
0.119128,79.95,Aromatic Oud
0.119128,80.02,Aromatic Oud
0.119128,80.1,Aromatic Oud
0.119128,80.18,Aromatic Oud
0.116566,80.3,Aromatic Oud
0.116566,80.42,Aromatic Oud
0.116566,80.52,Aromatic Oud
0.116566,80.6,Aromatic Oud
0.119128,80.77,Aromatic Oud
0.120409,80.93,Aromatic Oud
0.120409,81.1,Aromatic Oud
